'Id:  Comment:  Operator: "Lab Manager" Anode: Mo Scantype: "Coupled TwoTheta/Theta" TimePerStep: 1536 X: 9999 Y: 9999 Z: 9999
4.6329 28.656 0.295 10.0724196637657              
4.638 28.462 0.295 10.0835302328404              
4.6431 28.026 0.294 10.09464087693              
4.6482 29.451 0.296 10.105751596119              
4.6533 29.065 0.296 10.1168623904917              
4.6584 28.257 0.295 10.1279732601324              
4.6635 30.145 0.297 10.1390842051257              
4.6686 29.979 0.296 10.1501952255558              
4.6737 29.383 0.296 10.1613063215072              
4.6788 31.646 0.298 10.1724174930643              
4.6839 31.183 0.298 10.1835287403115              
4.689 31.088 0.297 10.1946400633332              
4.6941 31.986 0.298 10.2057514622139              
4.6992 32.025 0.298 10.2168629370379              
4.7043 31.501 0.298 10.2279744878898              
4.7094 32.782 0.299 10.2390861148539              
4.7145 32.813 0.299 10.2501978180148              
4.7196 32.474 0.299 10.2613095974569              
4.7247 34.224 0.301 10.2724214532645              
4.7298 33.725 0.3 10.2835333855224              
4.7349 32.636 0.299 10.2946453943148              
4.74 35.231 0.301 10.3057574797263              
4.7451 35.057 0.301 10.3168696418413              
4.7502 33.975 0.3 10.3279818807445              
4.7553 36.497 0.303 10.3390941965202              
4.7605 36.108 0.302 10.3504244800764              
4.7656 35.356 0.301 10.3615369513622              
4.7707 37.238 0.303 10.3726494997759              
4.7758 36.243 0.302 10.3837621254018              
4.7809 36.52 0.302 10.3948748283246              
4.786 37.42 0.303 10.4059876086288              
4.7911 37.997 0.304 10.417100466399              
4.7962 37.156 0.303 10.4282134017196              
4.8013 39.181 0.305 10.4393264146753              
4.8064 39.018 0.305 10.4504395053506              
4.8115 38.175 0.304 10.4615526738302              
4.8166 40.103 0.306 10.4726659201985              
4.8217 39.573 0.305 10.4837792445401              
4.8268 38.879 0.305 10.4948926469398              
4.8319 41.188 0.307 10.506006127482              
4.837 41.203 0.307 10.5171196862514              
4.8421 39.565 0.305 10.5282333233326              
4.8472 41.896 0.308 10.5393470388102              
4.8523 41.644 0.307 10.5504608327689              
4.8574 40.876 0.306 10.5615747052932              
4.8625 43.704 0.309 10.5726886564678              
4.8676 43.266 0.309 10.5838026863774              
4.8727 41.908 0.307 10.5949167951067              
4.8778 43.983 0.31 10.6060309827402              
4.8829 43.754 0.309 10.6171452493626              
4.888 42.831 0.308 10.6282595950587              
4.8931 44.599 0.31 10.639374019913              
4.8983 45.288 0.311 10.650706456256              
4.9034 43.784 0.309 10.6618210412373              
4.9085 46.159 0.312 10.6729357056327              
4.9136 46.271 0.312 10.6840504495268              
4.9187 44.73 0.31 10.6951652730044              
4.9238 47.641 0.313 10.7062801761501              
4.9289 47.147 0.312 10.7173951590488              
4.934 46.268 0.311 10.7285102217852              
4.9391 48.104 0.313 10.7396253644439              
4.9442 48.062 0.313 10.7507405871097              
4.9493 47.75 0.313 10.7618558898675              
4.9544 49.734 0.315 10.7729712728018              
4.9595 48.954 0.314 10.7840867359976              
4.9646 47.986 0.313 10.7952022795396              
4.9697 50.488 0.315 10.8063179035126              
4.9748 49.73 0.315 10.8174336080013              
4.9799 49.247 0.314 10.8285493930906              
4.985 51.83 0.317 10.8396652588652              
4.9901 51.084 0.316 10.85078120541              
4.9952 50.197 0.315 10.8618972328098              
5.0003 52.626 0.317 10.8730133411494              
5.0054 52.022 0.317 10.8841295305136              
5.0105 50.673 0.315 10.8952458009872              
5.0156 53.227 0.318 10.9063621526552              
5.0207 53.322 0.318 10.9174785856023              
5.0258 52.014 0.317 10.9285950999134              
5.0309 54.643 0.319 10.9397116956735              
5.0361 54.214 0.319 10.9510463478474              
5.0412 53.405 0.318 10.962163108361              
5.0463 55.136 0.32 10.9732799505797              
5.0514 55.402 0.32 10.9843968745885              
5.0565 54.202 0.318 10.9955138804723              
5.0616 56.319 0.321 11.0066309683159              
5.0667 55.976 0.32 11.0177481382042              
5.0718 55.01 0.319 11.0288653902223              
5.0769 57.52 0.322 11.039982724455              
5.082 57.062 0.321 11.0511001409872              
5.0871 56.019 0.32 11.0622176399038              
5.0922 58.511 0.323 11.07333522129              
5.0973 57.209 0.321 11.0844528852304              
5.1024 56.492 0.32 11.0955706318103              
5.1075 59.748 0.324 11.1066884611144              
5.1126 59.342 0.323 11.1178063732278              
5.1177 57.699 0.321 11.1289243682354              
5.1228 60.537 0.324 11.1400424462223              
5.1279 60.18 0.324 11.1511606072734              
5.133 58.65 0.322 11.1622788514738              
5.1381 61.419 0.325 11.1733971789084              
5.1432 61.538 0.325 11.1845155896622              
5.1483 59.361 0.323 11.1956340838204              
5.1534 62.281 0.326 11.2067526614678              
5.1585 62.574 0.326 11.2178713226896              
5.1636 61.084 0.324 11.2289900675707              
5.1687 63.016 0.326 11.2401088961964              
5.1739 62.98 0.326 11.2514458273813              
5.179 61.803 0.325 11.2625648253972              
5.1841 64.062 0.327 11.2736839074144              
5.1892 63.598 0.327 11.2848030735179              
5.1943 62.753 0.326 11.295922323793              
5.1994 65.334 0.328 11.3070416583245              
5.2045 64.997 0.328 11.3181610771978              
5.2096 63.707 0.327 11.3292805804977              
5.2147 65.686 0.329 11.3404001683096              
5.2198 66.18 0.329 11.3515198407184              
5.2249 64.414 0.327 11.3626395978094              
5.23 67.27 0.33 11.3737594396676              
5.2351 66.706 0.329 11.3848793663783              
5.2402 65.487 0.328 11.3959993780264              
5.2453 67.65 0.33 11.4071194746973              
5.2504 67.052 0.33 11.418239656476              
5.2555 65.885 0.328 11.4293599234478              
5.2606 67.989 0.33 11.4404802756978              
5.2657 68.421 0.331 11.4516007133112              
5.2708 67.394 0.33 11.4627212363732              
5.2759 69.29 0.332 11.473841844969              
5.281 68.93 0.331 11.4849625391838              
5.2861 67.837 0.33 11.4960833191027              
5.2912 69.95 0.332 11.5072041848112              
5.2963 70.36 0.332 11.5183251363943              
5.3014 68.933 0.331 11.5294461739372              
5.3065 70.011 0.332 11.5405672975254              
5.3117 70.213 0.332 11.5519065710411              
5.3168 70.344 0.332 11.5630278686666              
5.3219 71.077 0.333 11.5741492525947              
5.327 71.67 0.333 11.5852707229106              
5.3321 70.265 0.332 11.5963922796997              
